French,English
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
voici,here is
donner,give
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
suite,after
devant,in front of
demandé,request
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
jouer,to play
bureau,office
